diff(10),diff(10),diff(11),diff(11),diff(12),diff(12),diff(13),diff(13),diff(14),diff(14),diff(15),diff(15),diff(16),diff(16),diff(18),diff(18),diff(19),diff(19),diff(20),diff(20),diff(21),diff(21),diff(22),diff(22),diff(23),diff(23),diff(24),diff(24),diff(25),diff(25),diff(26),diff(26),diff(27),diff(27),diff(28),diff(28),diff(29),diff(29),diff(3),diff(3),diff(30),diff(30),diff(31),diff(31),diff(32),diff(32),diff(33),diff(33),diff(34),diff(34),diff(35),diff(35),diff(36),diff(36),diff(37),diff(37),diff(38),diff(38),diff(39),diff(39),diff(4),diff(4),diff(40),diff(40),diff(41),diff(41),diff(42),diff(42),diff(43),diff(43),diff(44),diff(44),diff(45),diff(45),diff(5),diff(5),diff(6),diff(6),diff(7),diff(7),diff(8),diff(8),diff(9),diff(9)
line,curve,line,end,sides,triangle,degrees,flat,lines,degree,lines,center,farther,line,bigger,dot,middle,line,equilateral,triangle,space,edge,longest,angel,rectangle,shape,shape,rectangular,end,sides,different,rectangular,mirror,like,different,unequal,shape,split,space,hole,different,jagged,one,one,side,dot,mirror,different,equilateral,different,side,seems,direction,toward,parallel,lines,orientation,facing,smaller,side,circle,outside,orientation,lines,side,point,horizontal,lines,space,circles,orientation,wrong,dots,two,open,isnt,shapes,two,dot,dot,straight,curved,inward,shaped
line,center,line,line,sides,shape,angle,right,lines,angle,lines,line,farther,others,bigger,orientation,line,black,equilateral,different,left,dot,side,white,rectangle,rectangle,shape,shape,end,length,different,shaped,mirror,others,shape,jutting,shape,horizontally,space,figure,different,edges,another,second,dot,angle,mirror,orientation,equilateral,orientation,side,little,shapes,pointing,parallel,parallel,orientation,left,triangles,two,circle,shape,orientation,parallel,side,facing,horizontal,pointed,space,perfectly,orientation,angle,dots,points,open,connected,shapes,shapes,dot,attached,line,line,inward,like
curved,line,line,point,three,shape,angle,angle,perpendicular,doesnt,lines,orientation,line,small,circle,hole,line,dot,equilateral,shape,left,closer,side,dot,rectangle,square,shape,diagonal,end,seem,shape,shape,images,triangle,shape,sides,different,aesthetic,within,hole,different,uneven,another,symbol,dot,base,images,different,equilateral,one,side,big,shapes,toward,lines,lines,different,line,triangles,shapes,circle,instead,different,lines,side,right,horizontal,left,space,spaced,different,lines,dots,separated,shape,shape,one,two,line,dot,line,straight,inward,moon
curved,slight,line,aligned,three,3,90,right,perpendicular,90,perpendicular,center,line,black,circle,isnt,line,left,equilateral,others,left,edge,side,closer,rectangle,rectangle,shape,lines,end,match,shape,isnt,images,mirror,shape,unequal,different,point,within,figure,shape,jagged,another,flipped,dot,facing,images,orientation,equilateral,shape,side,smaller,pointing,pointing,lines,angle,different,left,triangles,pointing,circle,inside,different,parallel,circle,point,lines,2,dots,small,different,point,dots,line,shape,closed,one,shapes,line,attached,line,curved,inward,circletriange
curved,curve,line,end,three,sides,90,angle,perpendicular,degree,perpendicular,line,line,circle,circle,centered,line,hand,equilateral,longer,side,dot,side,acute,rectangle,square,different,shape,one,paralellogram,shape,rectangular,images,images,different,pointy,shape,aesthetic,shape,hole,shape,edges,another,one,dot,dot,mirror,shapes,triangles,different,line,second,pointing,toward,lines,two,orientation,line,triangles,side,within,black,orientation,lines,circle,facing,lines,small,dots,circles,different,right,unique,dots,open,shape,two,two,dot,dot,straight,straight,shape,curved
curved,center,line,line,sides,shape,degrees,right,perpendicular,angle,perpendicular,orientation,line,line,bigger,hole,line,side,equilateral,sides,side,closer,side,angel,rectangle,rectangle,different,straight,wide,paralellogram,shape,shaped,images,like,different,sides,shape,point,shape,figure,shape,uneven,orientated,oriented,mirror,point,mirror,arent,triangles,orientation,line,shape,direction,enlarged,lines,ends,orientation,left,smaller,aligned,within,circle,orientation,parallel,circle,right,lines,lines,dots,perfectly,orientation,lines,unique,clustered,open,closed,two,shapes,dot,isnt,straight,line,shape,inside
line,line,circle,small,sides,3,degrees,angle,lines,crosses,lines,angles,line,others,bigger,isnt,line,line,triangle,triangle,side,edge,dot,point,rectangle,square,different,sides,end,paralellogram,different,2,images,others,different,dont,different,top,empty,shape,different,pointy,orientated,direction,mirror,reflective,mirror,parallel,equilateral,different,line,seems,direction,symbol,lines,facing,different,circle,triangle,aligned,within,outside,different,evenly,line,line,lines,pointed,dots,spaced,orientation,point,unique,two,shape,open,two,one,dot,line,straight,without,goes,curved
line,straight,circle,black,sides,sides,angle,flat,lines,like,lines,arent,dot,dot,bigger,centered,dot,dot,triangle,different,dot,dot,dot,centered,rectangle,isnt,shape,shape,one,shape,different,sides,shapes,pointing,different,match,different,bottom,empty,cutout,different,tips,differently,oriented,images,point,mirror,center,equilateral,orientation,line,little,direction,flipped,parallel,lines,different,top,smaller,aligned,within,shape,different,spaced,line,righthand,lines,left,bigger,space,orientation,right,unique,close,shape,space,shapes,two,dot,next,straight,curves,goes,inside
curved,line,circle,circle,three,different,angle,triangle,lines,x,lines,90,dot,high,circle,dot,dot,centered,triangle,shape,dot,closer,closest,point,rectangle,square,shape,straight,one,trapezoid,shape,2,shapes,left,shape,pointy,different,tips,empty,hole,different,match,differently,direction,images,reflective,mirror,line,triangles,shapes,line,big,direction,upside,parallel,angle,different,right,smaller,aligned,within,instead,different,apart,line,side,left,2,bigger,two,different,different,unique,sets,shape,incomplete,shapes,shapes,line,dot,line,straight,inward,curved
curved,straight,circle,line,three,shape,angle,tall,perpendicular,crosses,lines,degrees,farther,dot,circle,center,middle,dot,triangle,others,dot,edge,closest,centered,rectangle,square,shape,sides,one,instead,shape,sides,mirror,pointing,shape,sides,different,dont,empty,inside,different,tips,relation,oriented,either,point,images,shapes,triangles,facing,line,smaller,shapes,enlarged,parallel,two,orientation,circle,triangles,aligned,within,inside,orientation,evenly,line,circle,left,small,bigger,dots,different,orientation,unique,two,open,open,shapes,one,line,isnt,line,line,inward,inside
line,curved,circle,line,sides,different,90,flat,perpendicular,like,perpendicular,angles,farther,high,bigger,dot,middle,centered,triangle,longer,least,point,longest,point,rectangle,rectangle,different,stretched,one,parallelogram,different,different,mirror,left,shape,dont,different,match,space,shape,different,different,relation,direction,either,reflective,images,arent,triangles,different,mirror,reflection,shapes,symbol,parallel,ends,orientation,top,smaller,small,shape,black,orientation,spaced,line,instead,left,lines,space,space,orientation,different,unique,instead,open,space,one,two,line,line,line,without,shape,shape
line,straight,straight,small,sides,shape,90,triangle,perpendicular,x,perpendicular,arent,line,dot,bigger,center,line,dot,triangle,sides,least,far,longest,centered,rectangle,shape,different,shape,wide,shape,different,shape,images,pointing,shape,match,shape,top,space,cutout,different,size,one,oriented,side,point,images,parallel,triangles,directions,images,reflection,shapes,flipped,parallel,facing,orientation,right,smaller,triangle,shape,circle,orientation,apart,line,left,left,pointed,space,two,orientation,orientation,unique,random,open,incomplete,one,shapes,line,next,line,curves,shape,indented
curved,curved,straight,black,three,3,90,tall,lines,one,perpendicular,90,line,high,circle,white,line,centered,equilateral,shape,least,left,side,point,rectangle,rectangle,shape,stretched,wide,trapezoid,shape,different,images,left,different,shape,shape,bottom,space,hole,different,top,one,direction,side,reflective,images,center,equilateral,shapes,either,reflection,shapes,upside,lines,angles,different,cirlce,smaller,much,shape,outside,different,lines,right,line,left,left,space,dots,different,isnt,arrangement,dots,shape,enclosed,one,one,dot,dot,straight,line,goes,shape
curved,straight,straight,circle,three,sided,degrees,flat,lines,line,perpendicular,degrees,dot,dot,circle,dot,dot,dot,equilateral,narrow,amount,point,side,centered,rectangle,rectangle,shape,shape,wide,instead,shape,shape,shapes,mirror,different,symetrical,shape,tips,space,inside,different,biggersmaller,another,oriented,dot,point,images,line,equilateral,facing,side,reflection,pointing,enlarged,parallel,angles,different,right,smaller,smaller,shape,shape,different,parallel,right,righthand,side,2,dots,space,different,facing,arrangement,clustered,open,enclosed,two,one,dot,touching,straight,straight,goes,indented
curve,angle,straight,line,sides,3,degrees,triangle,lines,longer,lines,branch,dot,far,circle,center,dot,centered,triangle,shape,amount,far,dot,small,rectangle,square,oblong,parallel,wide,parallelogram,width,nonmatching,shapes,images,shape,shape,shape,dont,within,shape,different,bottom,another,direction,dot,reflective,mirror,shapes,equilateral,different,line,reflection,pointing,symbol,lines,parallel,different,side,smaller,big,shape,instead,orientation,lines,right,side,side,small,dots,two,different,left,arrangement,two,shape,line,two,shape,dot,line,line,line,inward,shape
curve,bend,straight,line,sides,sided,degrees,tall,perpendicular,one,lines,different,dot,line,circle,circle,middle,dot,triangle,narrow,amount,left,dot,white,nothing,rectangle,oblong,lines,end,shape,width,sides,shapes,different,shape,symetrical,shape,match,within,cutout,shape,pointy,orientated,triangles,mirror,point,mirror,pointing,equilateral,directions,mirror,triangles,pointing,flipped,parallel,parallel,different,line,smaller,triangle,shape,inside,orientation,parallel,right,circle,side,lines,dots,dots,orientation,isnt,arrangement,close,shape,opened,shapes,one,line,dot,line,straight,inward,indented
curve,curved,line,small,three,triangle,angle,doesnt,perpendicular,line,lines,orientation,farther,dot,bigger,white,middle,centered,corner,isoceles,space,point,dot,circle,nothing,versus,rectangle,parallel,end,trapezoid,shape,nonmatching,shapes,sized,different,uneven,different,shape,within,hole,shape,tips,orientated,oriented,mirror,one,mirror,right,triangles,shapes,mirror,oriented,pointing,upside,parallel,lines,orientation,cirlce,smaller,compared,circle,dot,different,parallel,right,instead,side,pointed,bigger,unequal,orientation,facing,arrangement,sets,open,line,shapes,shape,line,touching,straight,straight,shape,concave
curve,line,line,black,sides,triangle,angle,90,perpendicular,longer,perpendicular,branch,farther,far,bigger,dot,line,dot,corner,triangle,space,far,dot,situated,nothing,square,rectangle,lines,end,instead,shape,sides,shapes,shapes,different,stack,different,symetrical,within,inside,shape,match,orientated,direction,mirror,triangle,images,shapes,triangles,facing,mirror,instead,direction,shapes,parallel,parallel,orientation,right,smaller,others,within,dot,different,lines,right,left,side,left,bigger,dot,orientation,left,arrangement,two,open,opened,one,one,line,line,straight,curved,shape,shape
curve,line,line,circle,three,triangle,angle,degree,lines,lines,perpendicular,different,farther,line,bigger,center,line,centered,facing,isoceles,space,left,dot,narrow,nothing,square,oblong,box,end,parallelogram,width,point,mirror,mirror,shape,uneven,shape,shape,shape,shape,shape,tips,orientated,others,mirror,points,images,pointing,triangles,opposite,mirror,mirrored,direction,aligned,parallel,spaced,orientation,side,triangle,small,shape,dot,orientation,parallel,side,line,vertical,2,bigger,spacing,different,attached,arrangement,instead,shape,shape,one,shape,dot,unattached,line,straight,goes,concave
curve,curved,line,line,three,variation,angle,angle,lines,crossed,perpendicular,orientation,line,dot,bigger,circle,dot,uncentered,facing,triangle,left,point,dot,end,nothing,square,oblong,slanted,one,top,width,top,mirror,images,shape,stack,shape,symetrical,shape,cutout,shape,different,differently,triangles,mirror,black,images,right,triangles,direction,images,triangles,shapes,shapes,parallel,angle,orientation,line,triangle,triangle,circle,dot,orientation,lines,side,righthand,vertical,small,space,unequal,different,bars,arrangement,random,shape,fully,two,separated,dot,dot,line,curved,goes,shape
curve,curved,line,line,three,square,90,doesnt,lines,closer,lines,extra,line,far,circle,dot,dot,dot,left,isoceles,left,far,dot,shape,nothing,shape,rectangle,box,one,missing,shape,point,mirror,different,shape,asymmetrical,different,stacked,shape,hole,shape,size,differently,oriented,mirror,circle,mirror,triangles,equilateral,shapes,images,oriented,shapes,aligned,parallel,two,different,facing,triangle,much,circle,outside,lines,lines,side,side,vertical,lines,space,dot,different,facing,dots,dots,shape,enclosed,two,two,line,unattached,line,line,inward,concave
curve,line,line,small,sides,triangle,90,90,perpendicular,lines,lines,line,line,line,circle,middle,dot,centered,left,triangle,left,left,closest,small,nothing,rectangle,rectangle,slanted,wide,top,shape,top,mirror,sized,shape,jagged,different,unevenly,shape,inside,shape,top,differently,direction,images,point,mirror,evenly,equilateral,facing,images,instead,pointing,shapes,parallel,lines,different,different,triangle,smaller,circle,shape,lines,parallel,side,circle,vertical,pointed,space,spacing,different,right,dots,clustered,open,shape,shapes,separated,line,dot,line,straight,inward,shape
curve,line,line,black,sides,variation,90,degree,perpendicular,crossed,lines,diagonal,dot,different,circle,cirlce,middle,uncentered,corner,skinnier,side,point,closest,white,nothing,square,oblong,rectangle,wide,missing,width,2,mirror,shapes,symmetrical,asymmetrical,shape,stacked,empty,hole,shape,biggersmaller,differently,others,images,one,mirror,shaped,equilateral,opposite,images,mirrored,pointing,aligned,parallel,parellel,different,direction,triangle,big,within,dot,parallel,lines,side,instead,vertical,left,dots,unequal,orientation,attached,dots,two,open,fully,shapes,two,dot,dot,curved,line,shape,isnt
curve,curved,line,circle,sides,square,90,angle,perpendicular,closer,lines,line,dot,dot,bigger,dot,middle,dot,corner,triangle,side,far,closest,circle,nothing,rectangle,rectangle,rectangle,end,top,width,side,images,mirror,symmetrical,jagged,shape,unevenly,space,hole,shape,bottom,relation,triangles,images,triangle,mirror,others,equilateral,direction,either,triangles,direction,small,parallel,potentially,orientation,facing,triangle,triangle,within,outside,parallel,parallel,side,left,line,2,dots,dot,orientation,bars,dots,close,open,enclosed,one,separated,dot,touched,curved,straight,shape,circular
